onset	duration	trial_type	contrast	orientation	run	subject	task
186.6256239080103	5.00072591600474	con-0.2_ori-135	0.2	135	8	6	contrast
188.92594462100533	5.000693765992764	con-0.2_ori-0	0.2	0	8	6	contrast
189.22599642100977	0.40003040598821826	dim	1	NaN	8	6	contrast
192.5264640590176	0.4000721709744539	dim	1	NaN	8	6	contrast
194.92680844801362	5.0006706309795845	con-0.2_ori-60	0.2	60	8	6	contrast
196.32701552601065	0.40002650098176673	dim	1	NaN	8	6	contrast
197.22709550900618	5.000686254992615	con-0.2_ori-30	0.2	30	8	6	contrast
199.4273880390101	0.4000685649807565	dim	1	NaN	8	6	contrast
201.8277333290025	0.40004843499627896	dim	1	NaN	8	6	contrast
203.02789666000172	5.000687455991283	con-0.8_ori-60	0.8	60	8	6	contrast
205.82825402900926	5.000697671988746	con-0.8_ori-90	0.8	90	8	6	contrast
206.22836315701716	0.400004266994074	dim	1	NaN	8	6	contrast
209.0287211270188	0.4000433269829955	dim	1	NaN	8	6	contrast
210.828951700998	5.000685954000801	con-0.8_ori-150	0.8	150	8	6	contrast
213.82929452799726	0.4001190430135466	dim	1	NaN	8	6	contrast
213.92937168601202	5.000619251979515	con-0.2_ori-0	0.2	0	8	6	contrast
217.42982868899708	0.4000769779959228	dim	1	NaN	8	6	contrast
218.3299555440026	5.000728017999791	con-0.2_ori-135	0.2	135	8	6	contrast
220.8303037790174	0.399934258981375	dim	1	NaN	8	6	contrast
221.9304623620119	5.000689859996783	con-0.8_ori-75	0.8	75	8	6	contrast
225.53097068300121	0.4000286039954517	dim	1	NaN	8	6	contrast
226.73112740399665	5.000686854997184	con-0.2_ori-165	0.2	165	8	6	contrast
230.23163818899775	0.40003641601651907	dim	1	NaN	8	6	contrast
230.43163957100478	5.000654405012028	con-0.2_ori-30	0.2	30	8	6	contrast
233.13201502800803	0.40007517498452216	dim	1	NaN	8	6	contrast
234.432190017018	5.000688657979481	con-0.2_ori-150	0.2	150	8	6	contrast
235.83250405901344	0.3999264469894115	dim	1	NaN	8	6	contrast
238.73278655300965	0.4000568469928112	dim	1	NaN	8	6	contrast
238.93281407500035	5.0006748370069545	con-0.2_ori-60	0.2	60	8	6	contrast
242.23315521900076	5.000793520011939	con-0.8_ori-75	0.8	75	8	6	contrast
243.0333581510058	0.4000679650052916	dim	1	NaN	8	6	contrast
246.6338502470171	5.000703680998413	con-0.2_ori-150	0.2	150	8	6	contrast
248.03406123199966	0.4000595510005951	dim	1	NaN	8	6	contrast
250.0343325480062	5.000664321007207	con-0.2_ori-75	0.2	75	8	6	contrast
251.93459190701833	0.40005654699052684	dim	1	NaN	8	6	contrast
254.1348492820107	5.000722009979654	con-0.2_ori-105	0.2	105	8	6	contrast
254.83497836100287	0.40004542900715023	dim	1	NaN	8	6	contrast
258.2354327189969	5.00068144701072	con-0.8_ori-15	0.8	15	8	6	contrast
259.4355999559921	0.40010492102010176	dim	1	NaN	8	6	contrast
261.63589759299066	5.000763773015933	con-0.8_ori-90	0.8	90	8	6	contrast
264.6363056199916	0.40006496000569314	dim	1	NaN	8	6	contrast
266.43657074699877	5.000695869006449	con-0.2_ori-120	0.2	120	8	6	contrast
267.6367280690174	0.4000769779959228	dim	1	NaN	8	6	contrast
269.2369527539995	5.000670931010973	con-0.2_ori-90	0.2	90	8	6	contrast
272.6374197319965	0.40006465901387855	dim	1	NaN	8	6	contrast
274.93776207699557	5.000678443000652	con-0.2_ori-0	0.2	0	8	6	contrast
275.6376820350124	0.40018033699016087	dim	1	NaN	8	6	contrast
276.9380024470156	5.000701877987012	con-0.8_ori-150	0.8	150	8	6	contrast
280.5384518770152	0.40009380399715155	dim	1	NaN	8	6	contrast
283.53890587500064	5.000705183017999	con-0.2_ori-120	0.2	120	8	6	contrast
285.2391845830134	5.000636377983028	con-0.8_ori-135	0.8	135	8	6	contrast
285.539178394014	0.40008088399190456	dim	1	NaN	8	6	contrast
289.5397120130074	0.4001064240001142	dim	1	NaN	8	6	contrast
292.04005604199483	5.00070278000203	con-0.2_ori-105	0.2	105	8	6	contrast
292.74016829399625	5.000672734022373	con-0.2_ori-45	0.2	45	8	6	contrast
293.3402265240147	0.4000733729917556	dim	1	NaN	8	6	contrast
298.44095027600997	0.4000904989952687	dim	1	NaN	8	6	contrast
300.7412463510118	5.000722609984223	con-0.8_ori-30	0.8	30	8	6	contrast
300.8412697270105	5.000684751983499	con-0.8_ori-30	0.8	30	8	6	contrast
301.04128432899597	0.40007337302085944	dim	1	NaN	8	6	contrast
304.94184324800153	0.40006105400971137	dim	1	NaN	8	6	contrast
308.44226419500774	5.000758064008551	con-0.8_ori-135	0.8	135	8	6	contrast
309.14244435101864	5.00065831199754	con-0.2_ori-15	0.2	15	8	6	contrast
309.2424325729953	0.40004783400218	dim	1	NaN	8	6	contrast
