onset	duration	orientation	contrast	side	trial	subject	response_time
153.440618026856	5.00066181865986	30	0.2	right	19	4	n/a
155.101172342751	0.39997186983237	n/a	n/a	middle	41	4	n/a
159.101185647538	0.399962746567326	n/a	n/a	middle	42	4	n/a
161.641279085219	5.30009959591553	90	0.2	left	20	4	n/a
161.641279085219	5.30009959591553	30	0.8	right	20	4	n/a
163.401181085879	0.39999315753812	n/a	n/a	middle	43	4	n/a
167.501151055068	0.400014445214765	n/a	n/a	middle	44	4	n/a
170.041341427714	5.39992549314047	75	0.2	right	21	4	n/a
170.041341427714	5.39992549314047	135	0.8	left	21	4	n/a
170.901168161217	0.399979092471767	n/a	n/a	middle	45	4	n/a
174.700508243259	0.400036493170774	n/a	n/a	middle	46	4	n/a
178.700556140539	0.399963886971818	n/a	n/a	middle	47	4	n/a
178.740645776852	5.20000266097486	165	0.8	left	22	4	n/a
178.740645776852	5.20000266097486	120	0.8	right	22	4	n/a
182.400547777506	0.39996692808927	n/a	n/a	middle	48	4	n/a
186.100578948768	0.39999125682516	n/a	n/a	middle	49	4	n/a
187.240686451521	5.19993689726107	75	0.8	left	23	4	n/a
187.240686451521	5.19993689726107	150	0.2	right	23	4	n/a
189.500532191887	0.400002660957398	n/a	n/a	middle	50	4	n/a
193.501159037929	0.400026989751495	n/a	n/a	middle	51	4	n/a
195.540666684392	5.30063140770653	150	0.8	right	24	4	n/a
195.540666684392	5.30063140770653	0	0.2	left	24	4	n/a
197.501174623554	0.399998479464557	n/a	n/a	middle	52	4	n/a
201.101228983171	0.39996768833953	n/a	n/a	middle	53	4	n/a
204.241273003048	5.19938417791855	45	0.2	left	25	4	n/a
204.241273003048	5.19938417791855	165	0.2	right	25	4	n/a
205.300573626853	0.400634448771598	n/a	n/a	middle	54	4	n/a
209.40054169533	0.400027750001755	n/a	n/a	middle	55	4	n/a
212.64127680441	5.29938037655666	135	0.8	left	26	4	n/a
212.64127680441	5.29938037655666	90	0.2	right	26	4	n/a
213.500567164505	0.400012924656039	n/a	n/a	middle	56	4	n/a
217.701198952331	0.399965787655674	n/a	n/a	middle	57	4	n/a
221.541280985926	4.9000076027296	30	0.2	left	27	4	n/a
221.541280985926	4.9000076027296	45	0.2	right	27	4	n/a
221.801175763976	0.400008743134094	n/a	n/a	middle	58	4	n/a
226.000569825468	0.399994678096846	n/a	n/a	middle	59	4	n/a
229.50055880149	0.399992017133627	n/a	n/a	middle	60	4	n/a
229.540633232333	5.40062760631554	135	0.2	left	28	4	n/a
229.540633232333	5.40062760631554	135	0.8	right	28	4	n/a
233.101579469541	0.399772678036243	n/a	n/a	middle	61	4	n/a
